Request Date , Request # ,University,Semester,Year,Course, ISBN , Title , Author , pub_date , Call No , Syllabi , Comments
11/17/10,141317, Bowie State University ,Fall,2010, CMTE313 ,  , Statics and strength of materials for architecture and building construction , Barry Onouye with Kevin Kane ,2007, TA658 O66 2007 , N , Deleted 1/13 
10/11/10,255312, Bowie State University ,Spring,2011, CMTE314 , 978-0131185838 , Statics & Strength of Materials for Arch/Build Construction ," Onouye, Barry; Kane, Kevin ",2006, TA658 O66 2007 , N , Deleted 5/24 
11/17/10,368515, Bowie State University ,Fall,2010, CMTE313 ,  , 2nd copy - Statics and strength of materials for architecture and building construction , Barry Onouye with Kevin Kane ,2007, TA658 O66 2007 , N , Deleted 1/13 
11/17/10,443717, Bowie State University ,Fall,2010, CMTE313 ,  , CD - Statics and strength of materials for architecture and building construction , Barry Onouye with Kevin Kane ,2007, TA658 O66 2007 CD-ROM , N , Deleted 1/13 
10/11/10,750569, University of Maryland Eastern Shore ,Spring,2011, CMTE317 , 978-0130489173 , Soils in Construction ," Schroeder, W. L. ",2003, REF TA710 S286 2004 , N , Deleted 5/24 
10/11/10,837995, University of Maryland Eastern Shore ,Spring,2011, CMTE317 , 978-0195367591 , Soil Mechanics Laboratory Manual , Braja Das ,2008, REF TA710.5.D28 2009 , N , Deleted 5/24 
6/1/15,263557," University of Maryland, Baltimore County ",Fall,2015, GES776 ,9.78E+12, Elements of Photogrammetry with Applications in GIS ," Wolf, Dewitt ",2014, TR693 .W63 2014 ,  , 8 LOANS 
10/25/13,302569," University of Maryland, Baltimore County ",Fall,2013, GES776 ,  , Elements of photogrammetry : with applications in GIS ," Paul R. Wolf, Bon A. Dewitt ",2000, TR693 .W63 2000 , Y , 0 loans; Deleted 1/13 
6/1/15,387874," University of Maryland, Baltimore County ",Fall,2015, GES776 ,9.78E+12," Digital Elevation Model Technologies & Applications, The DEM Users Manual ", David F. Maune ,2007, GA139 .D54 2007 , N , 3 LOANS 
5/22/13,565410," University of Maryland, Baltimore County ",Fall,2013, GES776 ,  , Remote Sensing and Image Interpretation ," Lillesand, Kiefer, and Cipman ",2008, G70.4 .L54 2008 , N , Recalled 7/24 
6/1/15,851856," University of Maryland, Baltimore County ",Fall,2015, GES776 ,9.78E+12, Remote Sensing and Image Interpretation ," Lillesand, Kiefer, Chipman ",2015, G70.4 .L54 2015 ,  , 1 LOAN 
7/1/14,918948," University of Maryland, Baltimore County ",Fall,2014, GES770 ,9.78E+12, Remote Sensing and Image Interpretation ," Chipmaan, Kiefer, Lillesand ",2007, G70.4 .L54 2008 , N , Deleted 12/22; 0 loans 
8/3/12,405284," University of Maryland, Baltimore County ",Fall,2012, GES770 ,9.78E+12, Remote Sensing and Image Interpretation ," Lillesand, Kiefer, Chipman ",2008, G70.4 .L54 2008 , N , 0 loans; Deleted 1/6 
11/9/10,717861," University of Maryland, Baltimore ",Fall,2010, NPHY612 ,  , Textbook of medical physiology ," Hall, John E ",2006, REF QP34.5 G9 2006 , N , Deleted 5/26 
11/15/10,718982," University of Maryland, Baltimore County ",Fall,2010, POLI354 ,  , Personnel Management in Government Agencies and Nonprofit Organizations ," Dresang, Dennis L ",2009, JF1601.D7 2009 , N , Deleted 1/19 
9/10/14,265130, Salisbury University ,Fall,2014, EXSC300 , 978-0736062053 , Health fitness management : a comprehensive resource for managing and operating programs and facilit ," BATES, MIKE ",2008, GV428.5 .H43 2008 , N , Deleted 12/22; 0 loans 
11/8/11,199223," University of Maryland, Baltimore ",Fall,2011, PHMY529 ,  , Critical care nursing: a holistic approach ," Patricia Gonce Morton, Dorrie Fontaine ",2009, RT120.I5 C744 2009 , N , Entered 10/10 
11/12/10,206139," University of Maryland, Baltimore ",Fall,2010, SOWK630 ,  , Direct social work practice : theory and skills ," Hepworth, Dean ",2002, REF HV40.H53 2002 , N , Deleted 5/26 
