Request_ID,UserType,Institutions,RequestDate,ItemTypeRequested,NoOfItems,Year,Month,Semester,
3185,Grad,UMB,2/26/2016,iPad,1,2015,2,Spring,
3186,Undergrad,UMCP,2/26/2016,Laptop,1,2015,2,Spring,
3188,Undergrad,UMCP,2/26/2016,Laptop,1,2015,2,Spring,
3189,Undergrad,UMCP,2/26/2016,Laptop,1,2015,2,Spring,
3162,Undergrad,UMUC,2/25/2016,iPad,1,2015,2,Spring,
3163,Undergrad,UMUC,2/25/2016,iPad,1,2015,2,Spring,
3164,Undergrad,UMCP,2/25/2016,iPad,1,2015,2,Spring,
3165,Undergrad,UMBC,2/25/2016,Laptop,1,2015,2,Spring,
3166,Undergrad,UMUC,2/25/2016,Laptop,1,2015,2,Spring,
3167,Undergrad,UMCP,2/25/2016,Laptop,1,2015,2,Spring,
3168,Undergrad,UMCP,2/25/2016,Laptop,1,2015,2,Spring,
3169,Undergrad,UMCP,2/25/2016,Laptop,1,2015,2,Spring,
3170,Undergrad,UMB,2/25/2016,Laptop,1,2015,2,Spring,
3171,Undergrad,UMCP,2/25/2016,iPad,1,2015,2,Spring,
3172,Undergrad,UMCP,2/25/2016,iPad,1,2015,2,Spring,
3173,Undergrad,UMCP,2/25/2016,Laptop,1,2015,2,Spring,
3174,Undergrad,UMB,2/25/2016,Laptop,1,2015,2,Spring,
3175,Undergrad,UMCP,2/25/2016,iPad,1,2015,2,Spring,
3177,Faculty,UMCP,2/25/2016,Laptop,1,2015,2,Spring,
3178,Undergrad,UMCP,2/25/2016,Laptop,1,2015,2,Spring,
3179,Undergrad,UMBC,2/25/2016,iPad,1,2015,2,Spring,
3148,Undergrad,UMCP,2/24/2016,Laptop,1,2015,2,Spring,
3149,Undergrad,UMCP,2/24/2016,Laptop,1,2015,2,Spring,
3150,Undergrad,UMCP,2/24/2016,Laptop,1,2015,2,Spring,
3151,Faculty,UMCP,2/24/2016,Laptop,1,2015,2,Spring,
3152,Undergrad,UMCP,2/24/2016,Laptop,1,2015,2,Spring,
3153,Grad,UMB,2/24/2016,Laptop,1,2015,2,Spring,
3154,Undergrad,UMCP,2/24/2016,Laptop,1,2015,2,Spring,
3155,Undergrad,UMCP,2/24/2016,Laptop,1,2015,2,Spring,
3156,Undergrad,UMCP,2/24/2016,Laptop,1,2015,2,Spring,
3157,Undergrad,UMCP,2/24/2016,Laptop,1,2015,2,Spring,
3159,Grad,UMB,2/24/2016,Laptop,1,2015,2,Spring,
3160,Undergrad,UMCP,2/24/2016,Laptop,1,2015,2,Spring,
