Date,Month,Day,Year,WeekDay,Count,Institute,Program,Booking Event Type,financialYear
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,78,"U of MD, College Park",M.S. in Business & Management (Accounting),Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,4,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,5,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,5,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,5,USG Internal,Priddy Library,Academic Study Session,FY2013
10/15/12,10,15,2012,Monday,5,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,2,USG Internal,Priddy Library,Academic Class,FY2013
10/16/12,10,16,2012,Tuesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,5,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,4,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,5,USG Internal,Priddy Library,Academic Study Session,FY2013
10/16/12,10,16,2012,Tuesday,5,USG Internal,Priddy Library,Academic Study Session,FY2013
10/17/12,10,17,2012,Wednesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/17/12,10,17,2012,Wednesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/17/12,10,17,2012,Wednesday,4,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
10/17/12,10,17,2012,Wednesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/17/12,10,17,2012,Wednesday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/17/12,10,17,2012,Wednesday,4,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
10/17/12,10,17,2012,Wednesday,5,USG Internal,Priddy Library,Academic Study Session,FY2013
10/20/12,10,20,2012,Saturday,2,USG Internal,Priddy Library,Academic Study Session,FY2013
10/22/12,10,22,2012,Monday,5,USG Internal,Priddy Library,Academic Study Session,FY2013
10/24/12,10,24,2012,Wednesday,4,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
10/25/12,10,25,2012,Thursday,2,Towson University,M.A.T. in Special Education,Academic Study Session,FY2013
10/27/12,10,27,2012,Saturday,3,Towson University,M. Ed in Early Childhood Education,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,3,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,5,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,3,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,5,"U of MD, College Park",Master of Business Administration (MBA),Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,2,"U of MD, University College",Undergraduate Programs,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,2,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,3,"U of MD, College Park",M.S. in Business & Management (Accounting),Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,3,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,4,"U of MD, College Park",Master of Business Administration (MBA),Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,3,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,4,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,4,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,3,"U of MD, College Park",Master of Business Administration (MBA),Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
