Date,Month,Day,Year,Pid,Slotid,Count
12/5/11,12,5,2011,1,15,18
12/5/11,12,5,2011,2,15,5
12/12/11,12,12,2011,1,15,27
12/12/11,12,12,2011,2,15,7
12/13/11,12,13,2011,1,15,21
12/13/11,12,13,2011,2,15,4
12/14/11,12,14,2011,1,15,38
12/14/11,12,14,2011,2,15,4
12/14/11,12,14,2011,5,15,1
12/15/11,12,15,2011,1,15,21
12/15/11,12,15,2011,2,15,6
12/19/11,12,19,2011,1,15,17
12/19/11,12,19,2011,2,15,6
12/19/11,12,19,2011,5,15,2
12/20/11,12,20,2011,1,15,15
12/20/11,12,20,2011,2,15,5
5/1/11,5,1,2011,1,15,23
5/1/11,5,1,2011,2,15,13
5/2/11,5,2,2011,1,15,38
5/2/11,5,2,2011,2,15,11
5/3/11,5,3,2011,1,15,24
5/3/11,5,3,2011,2,15,7
5/4/11,5,4,2011,1,15,33
5/4/11,5,4,2011,2,15,7
5/5/11,5,5,2011,1,15,22
5/5/11,5,5,2011,2,15,7
5/9/11,5,9,2011,1,15,49
5/9/11,5,9,2011,2,15,15
5/10/11,5,10,2011,1,15,39
5/10/11,5,10,2011,2,15,10
5/12/11,5,12,2011,1,15,31
5/12/11,5,12,2011,2,15,10
5/17/11,5,17,2011,1,15,26
5/17/11,5,17,2011,2,15,6
5/18/11,5,18,2011,1,15,17
5/18/11,5,18,2011,2,15,7
5/19/11,5,19,2011,1,15,12
5/19/11,5,19,2011,2,15,10
5/19/11,5,19,2011,1,15,12
5/19/11,5,19,2011,2,15,10
2/22/11,2,22,2011,1,15,37
2/22/11,2,22,2011,2,15,6
11/30/10,11,30,2010,1,15,26
11/30/10,11,30,2010,2,15,12
12/1/11,12,1,2011,1,15,31
12/1/11,12,1,2011,2,15,13
12/1/10,12,1,2010,1,15,31
12/1/10,12,1,2010,2,15,13
12/2/10,12,2,2010,1,15,18
12/2/10,12,2,2010,2,15,4
12/6/10,12,6,2010,1,15,23
12/6/10,12,6,2010,2,15,6
12/7/10,12,7,2010,1,15,8
12/7/10,12,7,2010,2,15,4
12/8/10,12,8,2010,1,15,46
12/8/10,12,8,2010,2,15,11
12/9/10,12,9,2010,1,15,8
12/9/10,12,9,2010,2,15,3
12/13/10,12,13,2010,1,15,26
12/13/10,12,13,2010,2,15,8
12/14/10,12,14,2010,1,15,20
12/14/10,12,14,2010,2,15,7
12/15/10,12,15,2010,1,15,25
12/15/10,12,15,2010,2,15,3
2/5/12,2,5,2012,1,15,2
2/5/12,2,5,2012,2,15,7
2/6/12,2,6,2012,1,15,3
2/6/12,2,6,2012,2,15,2
2/7/12,2,7,2012,1,15,8
2/7/12,2,7,2012,2,15,4
2/8/12,2,8,2012,1,15,14
2/8/12,2,8,2012,2,15,7
2/8/12,2,8,2012,5,15,4
2/9/12,2,9,2012,1,15,19
2/9/12,2,9,2012,2,15,6
2/12/12,2,12,2012,1,15,9
