Date,Month,Day,Year,Patron,University,Program
5/22/13,5,22,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/22/13,5,22,2013,Undergrad,"University of Maryland, University College (UMUC)",Other
5/21/13,5,21,2013,Grad,"University of Maryland, University College (UMUC)",Other
5/21/13,5,21,2013,Grad,"University of Maryland, University College (UMUC)",Other
5/21/13,5,21,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/21/13,5,21,2013,Undergrad,University of Maryland at College Park (UMCP),Communication
5/21/13,5,21,2013,Undergrad,University of Maryland at College Park (UMCP),Political Science
5/21/13,5,21,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/21/13,5,21,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Business
5/21/13,5,21,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/21/13,5,21,2013,Undergrad,University of Maryland at College Park (UMCP),Other
5/21/13,5,21,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/21/13,5,21,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/21/13,5,21,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/21/13,5,21,2013,Undergrad,"University of Maryland, University College (UMUC)",Information Management
5/21/13,5,21,2013,Undergrad,University of Maryland at Baltimore (UMB),Psychology
5/21/13,5,21,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Social Work
5/20/13,5,20,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/20/13,5,20,2013,Grad,University of Maryland at College Park (UMCP),Business
5/20/13,5,20,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Business
5/20/13,5,20,2013,Undergrad,University of Maryland at Baltimore County (UMBC),History
5/20/13,5,20,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Other
5/20/13,5,20,2013,Undergrad,University of Maryland at College Park (UMCP),Social Sciences
5/20/13,5,20,2013,Student's Family,Other,Other
5/20/13,5,20,2013,Undergrad,University of Maryland at Baltimore (UMB),Psychology
5/20/13,5,20,2013,Grad,University of Maryland at College Park (UMCP),Engineering
5/19/13,5,19,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/19/13,5,19,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Psychology
5/19/13,5,19,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Psychology
5/19/13,5,19,2013,Undergrad,University of Maryland at College Park (UMCP),Social Sciences
5/19/13,5,19,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Business
5/19/13,5,19,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/19/13,5,19,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/19/13,5,19,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/19/13,5,19,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/19/13,5,19,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Psychology
