ItemStatus,BorrowerCategory,TotalLoans,Year
1,11,127,2012
1,12,38,2012
1,19,287,2012
1,21,25,2012
1,29,39,2012
1,31,177,2012
1,32,9,2012
1,38,1,2012
1,39,401,2012
1,41,186,2012
1,49,957,2012
1,51,93,2012
1,59,16,2012
1,62,36,2012
1,63,25,2012
1,64,296,2012
1,65,9,2012
1,68,140,2012
1,69,1,2012
1,91,0,2012
3,11,22,2012
3,19,97,2012
3,21,1,2012
3,31,28,2012
3,39,6,2012
3,41,5,2012
3,49,108,2012
3,51,2,2012
3,65,14,2012
3,68,18,2012
3,91,0,2012
5,91,0,2012
9,91,0,2012
10,91,0,2012
11,91,0,2012
12,91,0,2012
21,11,68,2012
21,12,1,2012
21,19,40,2012
21,21,27,2012
21,29,7,2012
21,31,261,2012
21,39,335,2012
21,41,138,2012
21,49,310,2012
21,51,51,2012
21,63,48,2012
21,64,4,2012
21,65,31,2012
21,68,818,2012
21,91,0,2012
22,11,64,2012
22,19,82,2012
22,21,29,2012
22,29,13,2012
22,31,105,2012
22,38,7,2012
22,39,302,2012
22,41,296,2012
22,49,637,2012
22,51,38,2012
22,62,1,2012
22,63,26,2012
22,64,11,2012
22,65,21,2012
22,66,1,2012
22,68,142,2012
22,91,0,2012
31,11,12,2012
31,19,3,2012
31,21,4,2012
31,29,12,2012
31,31,100,2012
31,38,2,2012
31,39,186,2012
31,41,256,2012
31,49,345,2012
31,68,20,2012
31,69,2,2012
36,11,87,2012
36,19,15,2012
36,21,59,2012
36,29,3,2012
36,31,21,2012
36,39,40,2012
36,41,345,2012
36,49,204,2012
36,65,5,2012
37,51,1,2012
37,91,0,2012
50,49,4,2012
52,11,17,2012
52,19,16,2012
52,21,11,2012
52,31,101,2012
52,38,2,2012
52,39,149,2012
52,41,585,2012
52,49,2,2012
52,51,3,2012
53,11,10,2012
53,19,9,2012
53,21,7,2012
53,29,5,2012
53,31,11,2012
53,38,8,2012
53,39,131,2012
53,41,575,2012
53,49,193,2012
53,65,1,2012
53,68,2,2012
57,91,0,2012
70,19,1,2012
70,49,2,2012
1,11,78,2013
1,12,27,2013
1,19,392,2013
1,21,10,2013
1,29,19,2013
1,31,105,2013
1,32,1,2013
1,38,1,2013
1,39,302,2013
1,41,128,2013
1,49,736,2013
1,51,1,2013
1,60,4,2013
